,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:53:05.583Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:53:33.989Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:53:33.989Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:53:33.989Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:54:48.094Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:54:48.095Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:54:48.095Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:58:59.225Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:58:59.225Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T18:58:59.226Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
